method,dataset,dtype,filt,ncells_fact,repl,FPR
edgeRQLF,GSE74596null,full-length,TPM_1_25p,12,3,0.104375752709755
edgeRQLF,GSE74596null,full-length,TPM_1_25p,12,4,0.0843637814120463
edgeRQLF,GSE74596null,full-length,TPM_1_25p,12,5,0.0941571259376234
edgeRQLF,GSE74596null,full-length,TPM_1_25p,6,1,0.150931414055885
edgeRQLF,GSE74596null,full-length,TPM_1_25p,6,2,0.134055661780327
edgeRQLF,GSE74596null,full-length,TPM_1_25p,6,3,0.123304562268804
edgeRQLF,GSE74596null,full-length,TPM_1_25p,6,4,0.127560106856634
edgeRQLF,GSE74596null,full-length,TPM_1_25p,6,5,0.106965667791228
BPSC,GSE74596null,full-length,TPM_1_25p,22,1,0.0837479270315091
BPSC,GSE74596null,full-length,TPM_1_25p,12,1,0.133246809431105
BPSC,GSE74596null,full-length,TPM_1_25p,12,2,0.120025005209419
BPSC,GSE74596null,full-length,TPM_1_25p,12,3,0.146478873239437
BPSC,GSE74596null,full-length,TPM_1_25p,12,4,0.119343296148179
BPSC,GSE74596null,full-length,TPM_1_25p,12,5,0.126627467450651
BPSC,GSE74596null,full-length,TPM_1_25p,6,1,0.186410765497463
BPSC,GSE74596null,full-length,TPM_1_25p,6,2,0.162686900245481
BPSC,GSE74596null,full-length,TPM_1_25p,6,3,0.14762212179901
BPSC,GSE74596null,full-length,TPM_1_25p,6,4,0.166122258516099
BPSC,GSE74596null,full-length,TPM_1_25p,6,5,0.130417007358953
DESeq2,GSE74596null,full-length,TPM_1_25p,22,1,0.154685369179817
DESeq2,GSE74596null,full-length,TPM_1_25p,12,1,0.171248218285482
DESeq2,GSE74596null,full-length,TPM_1_25p,12,2,0.179917143420793
DESeq2,GSE74596null,full-length,TPM_1_25p,12,3,0.216378964271377
DESeq2,GSE74596null,full-length,TPM_1_25p,12,4,0.152772237734344
DESeq2,GSE74596null,full-length,TPM_1_25p,12,5,0.178247137781287
DESeq2,GSE74596null,full-length,TPM_1_25p,6,1,0.157688284518828
DESeq2,GSE74596null,full-length,TPM_1_25p,6,2,0.134293799845639
DESeq2,GSE74596null,full-length,TPM_1_25p,6,3,0.15110533159948
DESeq2,GSE74596null,full-length,TPM_1_25p,6,4,0.144406392694064
DESeq2,GSE74596null,full-length,TPM_1_25p,6,5,0.119565217391304
DESeq2nofilt,GSE74596null,full-length,TPM_1_25p,22,1,0.11357880381843
DESeq2nofilt,GSE74596null,full-length,TPM_1_25p,12,1,0.129097943392384
DESeq2nofilt,GSE74596null,full-length,TPM_1_25p,12,2,0.139277964095482
DESeq2nofilt,GSE74596null,full-length,TPM_1_25p,12,3,0.175832998795664
DESeq2nofilt,GSE74596null,full-length,TPM_1_25p,12,4,0.128839250099721
DESeq2nofilt,GSE74596null,full-length,TPM_1_25p,12,5,0.145874457165416
DESeq2nofilt,GSE74596null,full-length,TPM_1_25p,6,1,0.201312447078747
DESeq2nofilt,GSE74596null,full-length,TPM_1_25p,6,2,0.173783726364988
DESeq2nofilt,GSE74596null,full-length,TPM_1_25p,6,3,0.195848746403617
DESeq2nofilt,GSE74596null,full-length,TPM_1_25p,6,4,0.191228851291184
DESeq2nofilt,GSE74596null,full-length,TPM_1_25p,6,5,0.15221274062314
edgeRLRTdeconv,GSE74596null,full-length,TPM_1_25p,22,1,0.0820183128774596
edgeRLRTdeconv,GSE74596null,full-length,TPM_1_25p,12,1,0.103644878843413
edgeRLRTdeconv,GSE74596null,full-length,TPM_1_25p,12,2,0.0996251726178733
edgeRLRTdeconv,GSE74596null,full-length,TPM_1_25p,12,3,0.118827780008029
edgeRLRTdeconv,GSE74596null,full-length,TPM_1_25p,12,4,0.10191463901077
edgeRLRTdeconv,GSE74596null,full-length,TPM_1_25p,12,5,0.104619028819582
edgeRLRTdeconv,GSE74596null,full-length,TPM_1_25p,6,1,0.171253175275191
edgeRLRTdeconv,GSE74596null,full-length,TPM_1_25p,6,2,0.148927129806671
edgeRLRTdeconv,GSE74596null,full-length,TPM_1_25p,6,3,0.14570489108097
edgeRLRTdeconv,GSE74596null,full-length,TPM_1_25p,6,4,0.149154051647373
edgeRLRTdeconv,GSE74596null,full-length,TPM_1_25p,6,5,0.124826354435404
MASTcpm,GSE74596null,full-length,TPM_1_25p,22,1,0.046951100720826
MASTcpm,GSE74596null,full-length,TPM_1_25p,12,1,0.0474445123192832
MASTcpm,GSE74596null,full-length,TPM_1_25p,12,2,0.0434010652988755
MASTcpm,GSE74596null,full-length,TPM_1_25p,12,3,0.0499799277398635
MASTcpm,GSE74596null,full-length,TPM_1_25p,12,4,0.0452732349421619
MASTcpm,GSE74596null,full-length,TPM_1_25p,12,5,0.0416502171338334
MASTcpm,GSE74596null,full-length,TPM_1_25p,6,1,0.0518628281117697
MASTcpm,GSE74596null,full-length,TPM_1_25p,6,2,0.0480135967707669
MASTcpm,GSE74596null,full-length,TPM_1_25p,6,3,0.040484997944924
MASTcpm,GSE74596null,full-length,TPM_1_25p,6,4,0.0440783615316118
MASTcpm,GSE74596null,full-length,TPM_1_25p,6,5,0.040484223060131
MASTcpmDetRate,GSE74596null,full-length,TPM_1_25p,22,1,0.0512370933177479
MASTcpmDetRate,GSE74596null,full-length,TPM_1_25p,12,1,0.0502952555487681
MASTcpmDetRate,GSE74596null,full-length,TPM_1_25p,12,2,0.0459656737029
MASTcpmDetRate,GSE74596null,full-length,TPM_1_25p,12,3,0.0451625853071056
MASTcpmDetRate,GSE74596null,full-length,TPM_1_25p,12,4,0.0562425209413642
MASTcpmDetRate,GSE74596null,full-length,TPM_1_25p,12,5,0.0529016975917884
MASTcpmDetRate,GSE74596null,full-length,TPM_1_25p,6,1,0.0696443691786622
MASTcpmDetRate,GSE74596null,full-length,TPM_1_25p,6,2,0.0484384958572339
MASTcpmDetRate,GSE74596null,full-length,TPM_1_25p,6,3,0.0515824085491163
MASTcpmDetRate,GSE74596null,full-length,TPM_1_25p,6,4,0.0545414069456812
MASTcpmDetRate,GSE74596null,full-length,TPM_1_25p,6,5,0.0541774161539988
MASTtpm,GSE74596null,full-length,TPM_1_25p,22,1,0.0459770114942529
MASTtpm,GSE74596null,full-length,TPM_1_25p,12,1,0.0415394013439218
MASTtpm,GSE74596null,full-length,TPM_1_25p,12,2,0.039060958768988
MASTtpm,GSE74596null,full-length,TPM_1_25p,12,3,0.0473705339221196
MASTtpm,GSE74596null,full-length,TPM_1_25p,12,4,0.0442760271240527
MASTtpm,GSE74596null,full-length,TPM_1_25p,12,5,0.0404658507698381
MASTtpm,GSE74596null,full-length,TPM_1_25p,6,1,0.0495342929720576
MASTtpm,GSE74596null,full-length,TPM_1_25p,6,2,0.046738899511366
MASTtpm,GSE74596null,full-length,TPM_1_25p,6,3,0.0384299219071106
MASTtpm,GSE74596null,full-length,TPM_1_25p,6,4,0.0418521816562778
MASTtpm,GSE74596null,full-length,TPM_1_25p,6,5,0.0377058940265926
MASTtpmDetRate,GSE74596null,full-length,TPM_1_25p,22,1,0.0494837327099162
MASTtpmDetRate,GSE74596null,full-length,TPM_1_25p,12,1,0.0468336387701079
MASTtpmDetRate,GSE74596null,full-length,TPM_1_25p,12,2,0.0455711185638193
MASTtpmDetRate,GSE74596null,full-length,TPM_1_25p,12,3,0.0431553592934564
MASTtpmDetRate,GSE74596null,full-length,TPM_1_25p,12,4,0.0542481053051456
MASTtpmDetRate,GSE74596null,full-length,TPM_1_25p,12,5,0.0511251480457955
MASTtpmDetRate,GSE74596null,full-length,TPM_1_25p,6,1,0.0641405588484335
MASTtpmDetRate,GSE74596null,full-length,TPM_1_25p,6,2,0.0450393031654982
MASTtpmDetRate,GSE74596null,full-length,TPM_1_25p,6,3,0.0495273325113029
MASTtpmDetRate,GSE74596null,full-length,TPM_1_25p,6,4,0.0512021371326803
MASTtpmDetRate,GSE74596null,full-length,TPM_1_25p,6,5,0.0470331414963286
SCDE,GSE74596null,full-length,TPM_1_25p,22,1,0.017923241768946
SCDE,GSE74596null,full-length,TPM_1_25p,12,1,0.0250458155161882
SCDE,GSE74596null,full-length,TPM_1_25p,12,2,0.0301834681396725
SCDE,GSE74596null,full-length,TPM_1_25p,12,3,0.0258932155760739
SCDE,GSE74596null,full-length,TPM_1_25p,12,4,0.0253290785799761
SCDE,GSE74596null,full-length,TPM_1_25p,12,5,0.023489932885906
SCDE,GSE74596null,full-length,TPM_1_25p,6,1,0.02307366638442
SCDE,GSE74596null,full-length,TPM_1_25p,6,2,0.0197578075207138
SCDE,GSE74596null,full-length,TPM_1_25p,6,3,0.0201397451705713
SCDE,GSE74596null,full-length,TPM_1_25p,6,4,0.0204808548530721
SCDE,GSE74596null,full-length,TPM_1_25p,6,5,0.0156777138321095
edgeRLRTrobust,GSE74596null,full-length,TPM_1_25p,22,1,0.220144165205533
edgeRLRTrobust,GSE74596null,full-length,TPM_1_25p,12,1,0.206475259621258
edgeRLRTrobust,GSE74596null,full-length,TPM_1_25p,12,2,0.209903333990925
edgeRLRTrobust,GSE74596null,full-length,TPM_1_25p,12,3,0.248695303091128
edgeRLRTrobust,GSE74596null,full-length,TPM_1_25p,12,4,0.201635420821699
edgeRLRTrobust,GSE74596null,full-length,TPM_1_25p,12,5,0.208843268851165
edgeRLRTrobust,GSE74596null,full-length,TPM_1_25p,6,1,0.214013547840813
edgeRLRTrobust,GSE74596null,full-length,TPM_1_25p,6,2,0.195453579774803
edgeRLRTrobust,GSE74596null,full-length,TPM_1_25p,6,3,0.189683518290177
edgeRLRTrobust,GSE74596null,full-length,TPM_1_25p,6,4,0.18633125556545
edgeRLRTrobust,GSE74596null,full-length,TPM_1_25p,6,5,0.175233181186743
voomlimma,GSE74596null,full-length,TPM_1_25p,22,1,0.0564971751412429
voomlimma,GSE74596null,full-length,TPM_1_25p,12,1,0.0472408878028915
voomlimma,GSE74596null,full-length,TPM_1_25p,12,2,0.0538567764845137
voomlimma,GSE74596null,full-length,TPM_1_25p,12,3,0.0672420714572461
voomlimma,GSE74596null,full-length,TPM_1_25p,12,4,0.0472676505783805
voomlimma,GSE74596null,full-length,TPM_1_25p,12,5,0.0529016975917884
voomlimma,GSE74596null,full-length,TPM_1_25p,6,1,0.0842506350550381
voomlimma,GSE74596null,full-length,TPM_1_25p,6,2,0.0613979179944763
voomlimma,GSE74596null,full-length,TPM_1_25p,6,3,0.0583641594739005
voomlimma,GSE74596null,full-length,TPM_1_25p,6,4,0.0605520926090828
voomlimma,GSE74596null,full-length,TPM_1_25p,6,5,0.0579480055566581
SeuratBimod,GSE74596null,full-length,TPM_1_25p,22,1,0.263652378156195
SeuratBimod,GSE74596null,full-length,TPM_1_25p,12,1,0.273773773773774
SeuratBimod,GSE74596null,full-length,TPM_1_25p,12,2,0.246691871455577
SeuratBimod,GSE74596null,full-length,TPM_1_25p,12,3,0.292370945637277
SeuratBimod,GSE74596null,full-length,TPM_1_25p,12,4,0.276144578313253
SeuratBimod,GSE74596null,full-length,TPM_1_25p,12,5,0.275750577367206
SeuratBimod,GSE74596null,full-length,TPM_1_25p,6,1,0.368572603866722
SeuratBimod,GSE74596null,full-length,TPM_1_25p,6,2,0.35084672166739
SeuratBimod,GSE74596null,full-length,TPM_1_25p,6,3,0.330903199675982
SeuratBimod,GSE74596null,full-length,TPM_1_25p,6,4,0.322197802197802
SeuratBimod,GSE74596null,full-length,TPM_1_25p,6,5,0.293631100082713
SeuratBimodnofilt,GSE74596null,full-length,TPM_1_25p,22,1,0.17669978570037
SeuratBimodnofilt,GSE74596null,full-length,TPM_1_25p,12,1,0.196701282834453
SeuratBimodnofilt,GSE74596null,full-length,TPM_1_25p,12,2,0.186624580785165
SeuratBimodnofilt,GSE74596null,full-length,TPM_1_25p,12,3,0.22059413890004
SeuratBimodnofilt,GSE74596null,full-length,TPM_1_25p,12,4,0.191264459513363
SeuratBimodnofilt,GSE74596null,full-length,TPM_1_25p,12,5,0.192064745361232
SeuratBimodnofilt,GSE74596null,full-length,TPM_1_25p,6,1,0.272861981371719
SeuratBimodnofilt,GSE74596null,full-length,TPM_1_25p,6,2,0.254727002336945
SeuratBimodnofilt,GSE74596null,full-length,TPM_1_25p,6,3,0.244143033292232
SeuratBimodnofilt,GSE74596null,full-length,TPM_1_25p,6,4,0.245770258236866
SeuratBimodnofilt,GSE74596null,full-length,TPM_1_25p,6,5,0.208176225441556
SeuratBimodIsExpr2,GSE74596null,full-length,TPM_1_25p,22,1,0.166459627329193
SeuratBimodIsExpr2,GSE74596null,full-length,TPM_1_25p,12,1,0.111111111111111
SeuratBimodIsExpr2,GSE74596null,full-length,TPM_1_25p,12,2,0.0988142292490119
SeuratBimodIsExpr2,GSE74596null,full-length,TPM_1_25p,12,3,0.109770808202654
SeuratBimodIsExpr2,GSE74596null,full-length,TPM_1_25p,12,4,0.121621621621622
SeuratBimodIsExpr2,GSE74596null,full-length,TPM_1_25p,12,5,0.0903465346534653
SeuratBimodIsExpr2,GSE74596null,full-length,TPM_1_25p,6,1,0.118421052631579
SeuratBimodIsExpr2,GSE74596null,full-length,TPM_1_25p,6,2,0.0859030837004405
SeuratBimodIsExpr2,GSE74596null,full-length,TPM_1_25p,6,3,0.116228070175439
SeuratBimodIsExpr2,GSE74596null,full-length,TPM_1_25p,6,4,0.0834990059642147
SeuratBimodIsExpr2,GSE74596null,full-length,TPM_1_25p,6,5,0.0921787709497207
SeuratTobit,GSE74596null,full-length,TPM_1_25p,22,1,0.0588081547307893
SeuratTobit,GSE74596null,full-length,TPM_1_25p,12,1,0.060377358490566
SeuratTobit,GSE74596null,full-length,TPM_1_25p,12,2,0.0550703541969918
SeuratTobit,GSE74596null,full-length,TPM_1_25p,12,3,0.0730730730730731
SeuratTobit,GSE74596null,full-length,TPM_1_25p,12,4,0.0680538555691554
SeuratTobit,GSE74596null,full-length,TPM_1_25p,12,5,0.0640019617459539
SeuratTobit,GSE74596null,full-length,TPM_1_25p,6,1,0.0730268010818785
SeuratTobit,GSE74596null,full-length,TPM_1_25p,6,2,0.0585774058577406
SeuratTobit,GSE74596null,full-length,TPM_1_25p,6,3,0.0633903133903134
SeuratTobit,GSE74596null,full-length,TPM_1_25p,6,4,0.0514300708475466
SeuratTobit,GSE74596null,full-length,TPM_1_25p,6,5,0.0517946388005452
DESeq2census,GSE74596null,full-length,TPM_1_25p,22,1,0.012863913337847
DESeq2census,GSE74596null,full-length,TPM_1_25p,12,1,0.0144395496818404
DESeq2census,GSE74596null,full-length,TPM_1_25p,12,2,0.0124267291910903
DESeq2census,GSE74596null,full-length,TPM_1_25p,12,3,0.0134624468587624
DESeq2census,GSE74596null,full-length,TPM_1_25p,12,4,0.0179425837320574
DESeq2census,GSE74596null,full-length,TPM_1_25p,12,5,0.0113821138211382
DESeq2census,GSE74596null,full-length,TPM_1_25p,6,1,0.0218111540585312
DESeq2census,GSE74596null,full-length,TPM_1_25p,6,2,0.0190156599552573
DESeq2census,GSE74596null,full-length,TPM_1_25p,6,3,0.0216099405726634
DESeq2census,GSE74596null,full-length,TPM_1_25p,6,4,0.019478573569074
DESeq2census,GSE74596null,full-length,TPM_1_25p,6,5,0.0176200204290092
edgeRLRTcensus,GSE74596null,full-length,TPM_1_25p,22,1,0.0609779855834794
edgeRLRTcensus,GSE74596null,full-length,TPM_1_25p,12,1,0.0731012013846467
edgeRLRTcensus,GSE74596null,full-length,TPM_1_25p,12,2,0.0664825409350957
edgeRLRTcensus,GSE74596null,full-length,TPM_1_25p,12,3,0.0818948213568848
edgeRLRTcensus,GSE74596null,full-length,TPM_1_25p,12,4,0.0741922616673315
edgeRLRTcensus,GSE74596null,full-length,TPM_1_25p,12,5,0.0738255033557047
edgeRLRTcensus,GSE74596null,full-length,TPM_1_25p,6,1,0.0997036409822185
edgeRLRTcensus,GSE74596null,full-length,TPM_1_25p,6,2,0.0862545145527937
edgeRLRTcensus,GSE74596null,full-length,TPM_1_25p,6,3,0.08281956432388
edgeRLRTcensus,GSE74596null,full-length,TPM_1_25p,6,4,0.0819234194122885
edgeRLRTcensus,GSE74596null,full-length,TPM_1_25p,6,5,0.0762055963484818
monoclecensus,GSE74596null,full-length,TPM_1_25p,22,1,0.070718877849211
monoclecensus,GSE74596null,full-length,TPM_1_25p,12,1,0.088169415597638
monoclecensus,GSE74596null,full-length,TPM_1_25p,12,2,0.0869994081672914
monoclecensus,GSE74596null,full-length,TPM_1_25p,12,3,0.0957446808510638
monoclecensus,GSE74596null,full-length,TPM_1_25p,12,4,0.0939369764658955
monoclecensus,GSE74596null,full-length,TPM_1_25p,12,5,0.0898144492696407
monoclecensus,GSE74596null,full-length,TPM_1_25p,6,1,0.140135478408129
monoclecensus,GSE74596null,full-length,TPM_1_25p,6,2,0.114510303802847
monoclecensus,GSE74596null,full-length,TPM_1_25p,6,3,0.126387176325524
monoclecensus,GSE74596null,full-length,TPM_1_25p,6,4,0.113980409617097
monoclecensus,GSE74596null,full-length,TPM_1_25p,6,5,0.106767215717404
monocle,GSE74596null,full-length,TPM_1_25p,22,1,0.0619520748100526
monocle,GSE74596null,full-length,TPM_1_25p,12,1,0.0633272245978416
monocle,GSE74596null,full-length,TPM_1_25p,12,2,0.0621424344052081
monocle,GSE74596null,full-length,TPM_1_25p,12,3,0.0905258932155761
monocle,GSE74596null,full-length,TPM_1_25p,12,4,0.0729956122856003
monocle,GSE74596null,full-length,TPM_1_25p,12,5,0.0692854322937229
monocle,GSE74596null,full-length,TPM_1_25p,6,1,0.115580016934801
monocle,GSE74596null,full-length,TPM_1_25p,6,2,0.111536010197578
monocle,GSE74596null,full-length,TPM_1_25p,6,3,0.109741060419236
monocle,GSE74596null,full-length,TPM_1_25p,6,4,0.0955031166518255
monocle,GSE74596null,full-length,TPM_1_25p,6,5,0.102798174240921
D3E,GSE74596null,full-length,TPM_1_25p,22,1,0.0496785505552309
D3E,GSE74596null,full-length,TPM_1_25p,12,1,0.0454730831973899
D3E,GSE74596null,full-length,TPM_1_25p,12,2,0.0390840900118437
D3E,GSE74596null,full-length,TPM_1_25p,12,3,0.0606913183279743
D3E,GSE74596null,full-length,TPM_1_25p,12,4,0.0463166300658814
D3E,GSE74596null,full-length,TPM_1_25p,12,5,0.0546890424481737
D3E,GSE74596null,full-length,TPM_1_25p,6,1,0.0891638225255973
D3E,GSE74596null,full-length,TPM_1_25p,6,2,0.0654584221748401
D3E,GSE74596null,full-length,TPM_1_25p,6,3,0.0594941956882255
D3E,GSE74596null,full-length,TPM_1_25p,6,4,0.0687640449438202
D3E,GSE74596null,full-length,TPM_1_25p,6,5,0.0650863800723182
limmatrend,GSE74596null,full-length,TPM_1_25p,22,1,0.0576660822131307
limmatrend,GSE74596null,full-length,TPM_1_25p,12,1,0.0456118916717573
limmatrend,GSE74596null,full-length,TPM_1_25p,12,2,0.0477411718287631
limmatrend,GSE74596null,full-length,TPM_1_25p,12,3,0.0670413488558812
limmatrend,GSE74596null,full-length,TPM_1_25p,12,4,0.0474670921420024
limmatrend,GSE74596null,full-length,TPM_1_25p,12,5,0.0493485984998026
limmatrend,GSE74596null,full-length,TPM_1_25p,6,1,0.0632938187976291
limmatrend,GSE74596null,full-length,TPM_1_25p,6,2,0.0509878903760357
limmatrend,GSE74596null,full-length,TPM_1_25p,6,3,0.0476777640772709
limmatrend,GSE74596null,full-length,TPM_1_25p,6,4,0.0489759572573464
limmatrend,GSE74596null,full-length,TPM_1_25p,6,5,0.0456439769795594
ROTSvoom,GSE74596null,full-length,TPM_1_25p,22,1,0.0553282680693552
ROTSvoom,GSE74596null,full-length,TPM_1_25p,12,1,0.043168397475056
ROTSvoom,GSE74596null,full-length,TPM_1_25p,12,2,0.047149339120142
ROTSvoom,GSE74596null,full-length,TPM_1_25p,12,3,0.0634283420313127
ROTSvoom,GSE74596null,full-length,TPM_1_25p,12,4,0.0462704427602712
ROTSvoom,GSE74596null,full-length,TPM_1_25p,12,5,0.0483616265298066
ROTSvoom,GSE74596null,full-length,TPM_1_25p,6,1,0.0698560541913632
ROTSvoom,GSE74596null,full-length,TPM_1_25p,6,2,0.052899936265137
ROTSvoom,GSE74596null,full-length,TPM_1_25p,6,3,0.0511713933415536
ROTSvoom,GSE74596null,full-length,TPM_1_25p,6,4,0.0503116651825467
ROTSvoom,GSE74596null,full-length,TPM_1_25p,6,5,0.0484223060130978
ROTScpm,GSE74596null,full-length,TPM_1_25p,22,1,0.0459770114942529
ROTScpm,GSE74596null,full-length,TPM_1_25p,12,1,0.0523315007126858
ROTScpm,GSE74596null,full-length,TPM_1_25p,12,2,0.0499112250937068
ROTScpm,GSE74596null,full-length,TPM_1_25p,12,3,0.0620232838217583
ROTScpm,GSE74596null,full-length,TPM_1_25p,12,4,0.0540486637415237
ROTScpm,GSE74596null,full-length,TPM_1_25p,12,5,0.042242400315831
ROTScpm,GSE74596null,full-length,TPM_1_25p,6,1,0.0620237087214225
ROTScpm,GSE74596null,full-length,TPM_1_25p,6,2,0.0531123858083705
ROTScpm,GSE74596null,full-length,TPM_1_25p,6,3,0.0528154541718044
ROTScpm,GSE74596null,full-length,TPM_1_25p,6,4,0.0483081032947462
ROTScpm,GSE74596null,full-length,TPM_1_25p,6,5,0.0446517166104386
ROTStpm,GSE74596null,full-length,TPM_1_25p,22,1,0.049094097019287
ROTStpm,GSE74596null,full-length,TPM_1_25p,12,1,0.0517206271635105
ROTStpm,GSE74596null,full-length,TPM_1_25p,12,2,0.0491221148155455
ROTStpm,GSE74596null,full-length,TPM_1_25p,12,3,0.0568044961862706
ROTStpm,GSE74596null,full-length,TPM_1_25p,12,4,0.0548464299960112
ROTStpm,GSE74596null,full-length,TPM_1_25p,12,5,0.0430319778918279
ROTStpm,GSE74596null,full-length,TPM_1_25p,6,1,0.0620237087214225
ROTStpm,GSE74596null,full-length,TPM_1_25p,6,2,0.0505629912895687
ROTStpm,GSE74596null,full-length,TPM_1_25p,6,3,0.0538429921907111
ROTStpm,GSE74596null,full-length,TPM_1_25p,6,4,0.0460819234194123
ROTStpm,GSE74596null,full-length,TPM_1_25p,6,5,0.0482238539392737
metagenomeSeq,GSE74596null,full-length,TPM_1_25p,22,1,0.0229007633587786
metagenomeSeq,GSE74596null,full-length,TPM_1_25p,12,1,0.0231937602627258
metagenomeSeq,GSE74596null,full-length,TPM_1_25p,12,2,0.0204405636038897
metagenomeSeq,GSE74596null,full-length,TPM_1_25p,12,3,0.0223970944309927
metagenomeSeq,GSE74596null,full-length,TPM_1_25p,12,4,0.017860726469998
metagenomeSeq,GSE74596null,full-length,TPM_1_25p,12,5,0.0200715421303657
metagenomeSeq,GSE74596null,full-length,TPM_1_25p,6,1,0.022642338975599
metagenomeSeq,GSE74596null,full-length,TPM_1_25p,6,2,0.0198807157057654
metagenomeSeq,GSE74596null,full-length,TPM_1_25p,6,3,0.0176220806794055
metagenomeSeq,GSE74596null,full-length,TPM_1_25p,6,4,0.0186335403726708
metagenomeSeq,GSE74596null,full-length,TPM_1_25p,6,5,0.0174573834462929
ttest,GSE74596null,full-length,TPM_1_25p,22,1,0.0541593609974674
ttest,GSE74596null,full-length,TPM_1_25p,12,1,0.0403176542455712
ttest,GSE74596null,full-length,TPM_1_25p,12,2,0.0414282896034721
ttest,GSE74596null,full-length,TPM_1_25p,12,3,0.0642312324367724
ttest,GSE74596null,full-length,TPM_1_25p,12,4,0.0450737933785401
ttest,GSE74596null,full-length,TPM_1_25p,12,5,0.0432293722858271
ttest,GSE74596null,full-length,TPM_1_25p,6,1,0.0480524978831499
ttest,GSE74596null,full-length,TPM_1_25p,6,2,0.0369662205226259
ttest,GSE74596null,full-length,TPM_1_25p,6,3,0.0341142622277024
ttest,GSE74596null,full-length,TPM_1_25p,6,4,0.0342831700801425
ttest,GSE74596null,full-length,TPM_1_25p,6,5,0.0303631672950982
edgeRQLFDetRate,GSE74596null,full-length,TPM_1_25p,22,1,0.0765634132086499
edgeRQLFDetRate,GSE74596null,full-length,TPM_1_25p,12,1,0.0912237833435146
edgeRQLFDetRate,GSE74596null,full-length,TPM_1_25p,12,2,0.0935095679621227
edgeRQLFDetRate,GSE74596null,full-length,TPM_1_25p,12,3,0.109594540345243
edgeRQLFDetRate,GSE74596null,full-length,TPM_1_25p,12,4,0.0943358595931392
edgeRQLFDetRate,GSE74596null,full-length,TPM_1_25p,12,5,0.11488353730754
edgeRQLFDetRate,GSE74596null,full-length,TPM_1_25p,6,1,0.106900931414056
edgeRQLFDetRate,GSE74596null,full-length,TPM_1_25p,6,2,0.115572551519014
edgeRQLFDetRate,GSE74596null,full-length,TPM_1_25p,6,3,0.0863131935881628
edgeRQLFDetRate,GSE74596null,full-length,TPM_1_25p,6,4,0.124220837043633
edgeRQLFDetRate,GSE74596null,full-length,TPM_1_25p,6,5,0.0885096249255805
DESeq2betapFALSE,GSE74596null,full-length,TPM_1_25p,22,1,0.180206506916034
DESeq2betapFALSE,GSE74596null,full-length,TPM_1_25p,12,1,0.194257788637752
DESeq2betapFALSE,GSE74596null,full-length,TPM_1_25p,12,2,0.202209508778852
DESeq2betapFALSE,GSE74596null,full-length,TPM_1_25p,12,3,0.235447611401044
DESeq2betapFALSE,GSE74596null,full-length,TPM_1_25p,12,4,0.181491822895891
DESeq2betapFALSE,GSE74596null,full-length,TPM_1_25p,12,5,0.203118831425188
DESeq2betapFALSE,GSE74596null,full-length,TPM_1_25p,6,1,0.162393162393162
DESeq2betapFALSE,GSE74596null,full-length,TPM_1_25p,6,2,0.138676844783715
DESeq2betapFALSE,GSE74596null,full-length,TPM_1_25p,6,3,0.156552779194289
DESeq2betapFALSE,GSE74596null,full-length,TPM_1_25p,6,4,0.15343618513324
DESeq2betapFALSE,GSE74596null,full-length,TPM_1_25p,6,5,0.124703087885986
scDD,GSE74596null,full-length,TPM_1_25p,22,1,0.025326319890902
scDD,GSE74596null,full-length,TPM_1_25p,12,1,0.0236091151714227
scDD,GSE74596null,full-length,TPM_1_25p,12,2,0.0269192422731805
scDD,GSE74596null,full-length,TPM_1_25p,12,3,0.0422592442096709
scDD,GSE74596null,full-length,TPM_1_25p,12,4,0.0220972278023303
scDD,GSE74596null,full-length,TPM_1_25p,12,5,0.0232974910394265
scDD,GSE74596null,full-length,TPM_1_25p,6,1,0.0249584026622296
scDD,GSE74596null,full-length,TPM_1_25p,6,2,0.0306271268838114
scDD,GSE74596null,full-length,TPM_1_25p,6,3,0.0184586986617443
scDD,GSE74596null,full-length,TPM_1_25p,6,4,0.0201207243460765
scDD,GSE74596null,full-length,TPM_1_25p,6,5,0.0172375195880904
DEsingle,GSE74596null,full-length,TPM_1_25p,22,1,0.144749659068771
DEsingle,GSE74596null,full-length,TPM_1_25p,12,1,0.132355935654653
DEsingle,GSE74596null,full-length,TPM_1_25p,12,2,0.122706648254094
DEsingle,GSE74596null,full-length,TPM_1_25p,12,3,0.137896427137696
DEsingle,GSE74596null,full-length,TPM_1_25p,12,4,0.125049860390905
DEsingle,GSE74596null,full-length,TPM_1_25p,12,5,0.119818397157521
DEsingle,GSE74596null,full-length,TPM_1_25p,6,1,0.174216765453006
DEsingle,GSE74596null,full-length,TPM_1_25p,6,2,0.174633524537922
DEsingle,GSE74596null,full-length,TPM_1_25p,6,3,0.164406083025072
DEsingle,GSE74596null,full-length,TPM_1_25p,6,4,0.175645592163847
DEsingle,GSE74596null,full-length,TPM_1_25p,6,5,0.146457630482239
zinbwaveedgeR,GSE74596null,full-length,TPM_1_25p,22,1,0.0753945061367621
zinbwaveedgeR,GSE74596null,full-length,TPM_1_25p,12,1,0.0977397678680513
zinbwaveedgeR,GSE74596null,full-length,TPM_1_25p,12,2,0.0877885184454528
zinbwaveedgeR,GSE74596null,full-length,TPM_1_25p,12,3,0.107185869128864
zinbwaveedgeR,GSE74596null,full-length,TPM_1_25p,12,4,0.0891503789389709
