method,dataset,dtype,filt,ncells_fact,repl,FPR
MASTcpm,GSE45719null,full-length,,6,3,0.0529530673229038
MASTcpm,GSE45719null,full-length,,6,4,0.0427409887386408
MASTcpm,GSE45719null,full-length,,6,5,0.0486399861399861
MASTcpmDetRate,GSE45719null,full-length,,24,1,0.0534624520372739
MASTcpmDetRate,GSE45719null,full-length,,12,1,0.051306263770853
MASTcpmDetRate,GSE45719null,full-length,,12,2,0.0470095599273129
MASTcpmDetRate,GSE45719null,full-length,,12,3,0.0490497594826906
MASTcpmDetRate,GSE45719null,full-length,,12,4,0.0527733755942948
MASTcpmDetRate,GSE45719null,full-length,,12,5,0.0486452475520076
MASTcpmDetRate,GSE45719null,full-length,,6,1,0.0555173007402307
MASTcpmDetRate,GSE45719null,full-length,,6,2,0.0500389914218872
MASTcpmDetRate,GSE45719null,full-length,,6,3,0.0708824046405344
MASTcpmDetRate,GSE45719null,full-length,,6,4,0.0518283403626245
MASTcpmDetRate,GSE45719null,full-length,,6,5,0.0465609840609841
MASTtpm,GSE45719null,full-length,,24,1,0.0440708934770693
MASTtpm,GSE45719null,full-length,,12,1,0.0391879131255902
MASTtpm,GSE45719null,full-length,,12,2,0.038555739906771
MASTtpm,GSE45719null,full-length,,12,3,0.0360381673369608
MASTtpm,GSE45719null,full-length,,12,4,0.0373217115689382
MASTtpm,GSE45719null,full-length,,12,5,0.0380667741554918
MASTtpm,GSE45719null,full-length,,6,1,0.0515579273541057
MASTtpm,GSE45719null,full-length,,6,2,0.0530716575686682
MASTtpm,GSE45719null,full-length,,6,3,0.0512831780629285
MASTtpm,GSE45719null,full-length,,6,4,0.0432627505543719
MASTtpm,GSE45719null,full-length,,6,5,0.0485966735966736
MASTtpmDetRate,GSE45719null,full-length,,24,1,0.0550338023022109
MASTtpmDetRate,GSE45719null,full-length,,12,1,0.0526440037771483
MASTtpmDetRate,GSE45719null,full-length,,12,2,0.0470885675910563
MASTtpmDetRate,GSE45719null,full-length,,12,3,0.0499566280261809
MASTtpmDetRate,GSE45719null,full-length,,12,4,0.0512282091917591
MASTtpmDetRate,GSE45719null,full-length,,12,5,0.049235125250698
MASTtpmDetRate,GSE45719null,full-length,,6,1,0.0566362540884834
MASTtpmDetRate,GSE45719null,full-length,,6,2,0.0492158391820466
MASTtpmDetRate,GSE45719null,full-length,,6,3,0.0676744594832132
MASTtpmDetRate,GSE45719null,full-length,,6,4,0.0523935823296665
MASTtpmDetRate,GSE45719null,full-length,,6,5,0.0471673596673597
SCDE,GSE45719null,full-length,,24,1,0.0137401790608441
SCDE,GSE45719null,full-length,,12,1,0.0114494806421152
SCDE,GSE45719null,full-length,,12,2,0.0135893181638619
SCDE,GSE45719null,full-length,,12,3,0.0149041873669269
SCDE,GSE45719null,full-length,,12,4,0.016838351822504
SCDE,GSE45719null,full-length,,12,5,0.0114829525345078
SCDE,GSE45719null,full-length,,6,1,0.0123084868307798
SCDE,GSE45719null,full-length,,6,2,0.00883805562776189
SCDE,GSE45719null,full-length,,6,3,0.0109421690982598
SCDE,GSE45719null,full-length,,6,4,0.00956563328840384
SCDE,GSE45719null,full-length,,6,5,0.0122574497574498
edgeRLRTrobust,GSE45719null,full-length,,24,1,0.0920884341311895
edgeRLRTrobust,GSE45719null,full-length,,12,1,0.0898646521875984
edgeRLRTrobust,GSE45719null,full-length,,12,2,0.0880540412420005
edgeRLRTrobust,GSE45719null,full-length,,12,3,0.0841810582761612
edgeRLRTrobust,GSE45719null,full-length,,12,4,0.086053882725832
edgeRLRTrobust,GSE45719null,full-length,,12,5,0.0819536749380628
edgeRLRTrobust,GSE45719null,full-length,,6,1,0.0961869512824927
edgeRLRTrobust,GSE45719null,full-length,,6,2,0.105146867689108
edgeRLRTrobust,GSE45719null,full-length,,6,3,0.10876252416945
edgeRLRTrobust,GSE45719null,full-length,,6,4,0.0800904387147267
edgeRLRTrobust,GSE45719null,full-length,,6,5,0.0888340263340263
voomlimma,GSE45719null,full-length,,24,1,0.080358121688288
voomlimma,GSE45719null,full-length,,12,1,0.0570900220333648
voomlimma,GSE45719null,full-length,,12,2,0.0605198704274315
voomlimma,GSE45719null,full-length,,12,3,0.0513366453749704
voomlimma,GSE45719null,full-length,,12,4,0.10622028526149
voomlimma,GSE45719null,full-length,,12,5,0.0699988202446026
voomlimma,GSE45719null,full-length,,6,1,0.073506627646755
voomlimma,GSE45719null,full-length,,6,2,0.0577939519972273
voomlimma,GSE45719null,full-length,,6,3,0.0724204605378801
voomlimma,GSE45719null,full-length,,6,4,0.0422627070742206
voomlimma,GSE45719null,full-length,,6,5,0.0556566181566182
SeuratBimod,GSE45719null,full-length,,24,1,0.707070707070707
SeuratBimod,GSE45719null,full-length,,12,1,0.38479809976247
SeuratBimod,GSE45719null,full-length,,12,2,0.542528735632184
SeuratBimod,GSE45719null,full-length,,12,3,0.561658031088083
SeuratBimod,GSE45719null,full-length,,12,4,0.358974358974359
SeuratBimod,GSE45719null,full-length,,12,5,0.571269487750557
SeuratBimod,GSE45719null,full-length,,6,1,0.266666666666667
SeuratBimod,GSE45719null,full-length,,6,2,0.374038896426956
SeuratBimod,GSE45719null,full-length,,6,3,0.40153452685422
SeuratBimod,GSE45719null,full-length,,6,4,0.291139240506329
SeuratBimod,GSE45719null,full-length,,6,5,0.306892067620286
SeuratBimodnofilt,GSE45719null,full-length,,24,1,0.230038370180888
SeuratBimodnofilt,GSE45719null,full-length,,12,1,0.163991186654076
SeuratBimodnofilt,GSE45719null,full-length,,12,2,0.191080034763372
SeuratBimodnofilt,GSE45719null,full-length,,12,3,0.1935178613674
SeuratBimodnofilt,GSE45719null,full-length,,12,4,0.179992076069731
SeuratBimodnofilt,GSE45719null,full-length,,12,5,0.193007983011522
SeuratBimodnofilt,GSE45719null,full-length,,6,1,0.144431055259081
SeuratBimodnofilt,GSE45719null,full-length,,6,2,0.171778875314098
SeuratBimodnofilt,GSE45719null,full-length,,6,3,0.169493759887502
SeuratBimodnofilt,GSE45719null,full-length,,6,4,0.135875472846646
SeuratBimodnofilt,GSE45719null,full-length,,6,5,0.130847193347193
SeuratBimodIsExpr2,GSE45719null,full-length,,24,1,0.25
SeuratBimodIsExpr2,GSE45719null,full-length,,12,1,0.129032258064516
SeuratBimodIsExpr2,GSE45719null,full-length,,12,2,0.193548387096774
SeuratBimodIsExpr2,GSE45719null,full-length,,12,3,0.0465116279069767
SeuratBimodIsExpr2,GSE45719null,full-length,,12,4,0.0217391304347826
SeuratBimodIsExpr2,GSE45719null,full-length,,12,5,0.0909090909090909
SeuratBimodIsExpr2,GSE45719null,full-length,,6,1,0.0515463917525773
SeuratBimodIsExpr2,GSE45719null,full-length,,6,2,0.162790697674419
SeuratBimodIsExpr2,GSE45719null,full-length,,6,3,0.239130434782609
SeuratBimodIsExpr2,GSE45719null,full-length,,6,4,0.0246913580246914
SeuratBimodIsExpr2,GSE45719null,full-length,,6,5,0.153846153846154
SeuratTobit,GSE45719null,full-length,,24,1,0.045214626391097
SeuratTobit,GSE45719null,full-length,,12,1,0.0399670374948496
SeuratTobit,GSE45719null,full-length,,12,2,0.0418359057676686
SeuratTobit,GSE45719null,full-length,,12,3,0.0340492048389289
SeuratTobit,GSE45719null,full-length,,12,4,0.0403832991101985
SeuratTobit,GSE45719null,full-length,,12,5,0.0357454814217564
SeuratTobit,GSE45719null,full-length,,6,1,0.0491425055756364
SeuratTobit,GSE45719null,full-length,,6,2,0.0440840566468707
SeuratTobit,GSE45719null,full-length,,6,3,0.0469316807738815
SeuratTobit,GSE45719null,full-length,,6,4,0.0415798812003394
SeuratTobit,GSE45719null,full-length,,6,5,0.0504746469090067
DESeq2census,GSE45719null,full-length,,24,1,0.0206937182414022
DESeq2census,GSE45719null,full-length,,12,1,0.0132433356117567
DESeq2census,GSE45719null,full-length,,12,2,0.0139387363325265
DESeq2census,GSE45719null,full-length,,12,3,0.0105828993784646
DESeq2census,GSE45719null,full-length,,12,4,0.013134328358209
DESeq2census,GSE45719null,full-length,,12,5,0.0113286130778842
DESeq2census,GSE45719null,full-length,,6,1,0.0134095839084993
DESeq2census,GSE45719null,full-length,,6,2,0.01003861003861
DESeq2census,GSE45719null,full-length,,6,3,0.0128454651615415
DESeq2census,GSE45719null,full-length,,6,4,0.00901448394611567
DESeq2census,GSE45719null,full-length,,6,5,0.00669397542212009
edgeRLRTcensus,GSE45719null,full-length,,24,1,0.0342042755344418
edgeRLRTcensus,GSE45719null,full-length,,12,1,0.0159741894869374
edgeRLRTcensus,GSE45719null,full-length,,12,2,0.0310895156830213
edgeRLRTcensus,GSE45719null,full-length,,12,3,0.0300449491365034
edgeRLRTcensus,GSE45719null,full-length,,12,4,0.0215927099841521
edgeRLRTcensus,GSE45719null,full-length,,12,5,0.0298478115537379
edgeRLRTcensus,GSE45719null,full-length,,6,1,0.0205284902737132
edgeRLRTcensus,GSE45719null,full-length,,6,2,0.0381682696473443
edgeRLRTcensus,GSE45719null,full-length,,6,3,0.0400773422394094
