method,dataset,dtype,filt,ncells_fact,repl,thr,TPR,FDR,AUROC,fracNA,fdrcontrol
DESeq2,GSE45719sim123,full-length,,24,1,thr0.05,0.57583363212621,0.119034558420187,0.850918244345691,0.241158025231532,high FDP
DESeq2betapFALSE,GSE45719sim123,full-length,,24,1,thr0.05,0.592685550376479,0.140852390852391,0.862528852607847,0.22081236782615,high FDP
DESeq2census,GSE45719sim123,full-length,,24,1,thr0.05,0.230907135173897,0.028657616892911,0.633708016229281,0.720848829577773,in range
DESeq2LRT,GSE45719sim123,full-length,,24,1,thr0.05,0.567228397275009,0.0844907407407407,0.867860757343272,0.239991249179611,in range
DESeq2nofilt,GSE45719sim123,full-length,,24,1,thr0.05,0.60129078522768,0.0866013071895425,0.911524674960236,0,in range
DEsingle,GSE45719sim123,full-length,,24,1,thr0.05,0.520975259949803,0.0577172503242542,0.908578759354926,0,in range
edgeRLRT,GSE45719sim123,full-length,,24,1,thr0.05,0.702760846181427,0.1062471500228,0.946569815812365,0,high FDP
edgeRLRTcensus,GSE45719sim123,full-length,,24,1,thr0.05,0.328433130154177,0.0497925311203319,0.845864832957184,0,in range
edgeRLRTdeconv,GSE45719sim123,full-length,,24,1,thr0.05,0.70311939763356,0.108231014097317,0.946940228263544,0,high FDP
edgeRLRTrobust,GSE45719sim123,full-length,,24,1,thr0.05,0.679455001792757,0.240480961923848,0.908405428681756,0,high FDP
edgeRQLF,GSE45719sim123,full-length,,24,1,thr0.05,0.828612405880244,0.472735569244809,0.940948735554195,0,high FDP
edgeRQLFDetRate,GSE45719sim123,full-length,,24,1,thr0.05,0.812119039082108,0.463015647226174,0.935089067298042,0,high FDP
limmatrend,GSE45719sim123,full-length,,24,1,thr0.05,0.455001792757261,0.0298165137614679,0.91142586483383,0,low FDP
logregLRT,GSE45719sim123,full-length,,24,1,thr0.05,0.562567228397275,0.051963746223565,0.917486085847466,0,in range
