method,dataset,dtype,filt,ncells,repl,charac,snr
DEsingle,GSE45719null,full-length,,24,1,log2(variance(CPM)),0.499294209806971
zinbwaveedgeR,GSE45719null,full-length,,24,1,log2(variance(CPM)),0.603110226808164
zinbwaveDESeq2,GSE45719null,full-length,,24,1,log2(variance(CPM)),0.394902086647818
DESeq2LRT,GSE45719null,full-length,,24,1,log2(variance(CPM)),0.481414736160799
BPSC,GSE45719null,full-length,,24,1,log2(variance(CPM)),0.331368888725769
MASTcpm,GSE45719null,full-length,,24,1,log2(variance(CPM)),0.105602773222293
MASTcpmDetRate,GSE45719null,full-length,,24,1,log2(variance(CPM)),0.0469201291324428
MASTtpm,GSE45719null,full-length,,24,1,log2(variance(CPM)),0.0649335022191726
MASTtpmDetRate,GSE45719null,full-length,,24,1,log2(variance(CPM)),-0.0509438421204957
edgeRLRT,GSE45719null,full-length,,24,1,CV(CPM),0.546293997128163
edgeRQLF,GSE45719null,full-length,,24,1,CV(CPM),1.00921684850613
NODES,GSE45719null,full-length,,24,1,CV(CPM),-0.832026624557169
DESeq2,GSE45719null,full-length,,24,1,CV(CPM),0.0559020558942162
DESeq2nofilt,GSE45719null,full-length,,24,1,CV(CPM),0.29617802080358
edgeRLRTdeconv,GSE45719null,full-length,,24,1,CV(CPM),0.542431230898652
SCDE,GSE45719null,full-length,,24,1,CV(CPM),0.263288229278154
edgeRLRTrobust,GSE45719null,full-length,,24,1,CV(CPM),0.0658647187664756
SeuratBimod,GSE45719null,full-length,,24,1,CV(CPM),0.264046042376976
SeuratBimodnofilt,GSE45719null,full-length,,24,1,CV(CPM),0.129992987149276
edgeRLRTcensus,GSE45719null,full-length,,24,1,CV(CPM),1.23116487915332
monoclecensus,GSE45719null,full-length,,24,1,CV(CPM),0.759534588482278
monocle,GSE45719null,full-length,,24,1,CV(CPM),0.108350469775293
monoclecount,GSE45719null,full-length,,24,1,CV(CPM),1.03626267789327
edgeRQLFDetRate,GSE45719null,full-length,,24,1,CV(CPM),0.896524048910538
DESeq2betapFALSE,GSE45719null,full-length,,24,1,CV(CPM),0.108801277131698
DEsingle,GSE45719null,full-length,,24,1,CV(CPM),-0.0419460423284972
zinbwaveedgeR,GSE45719null,full-length,,24,1,CV(CPM),0.496951658018988
zinbwaveDESeq2,GSE45719null,full-length,,24,1,CV(CPM),-0.00477039231193555
DESeq2LRT,GSE45719null,full-length,,24,1,CV(CPM),0.0725856826082754
BPSC,GSE45719null,full-length,,24,1,CV(CPM),0.548557739865975
MASTcpm,GSE45719null,full-length,,24,1,CV(CPM),0.902363221764951
MASTcpmDetRate,GSE45719null,full-length,,24,1,CV(CPM),0.758383647000019
MASTtpm,GSE45719null,full-length,,24,1,CV(CPM),1.03680257632774
MASTtpmDetRate,GSE45719null,full-length,,24,1,CV(CPM),0.864739569869327
edgeRLRT,GSE45719null,full-length,,12,1,Fraction zeros,-0.14585539385653
NODES,GSE45719null,full-length,,12,1,Fraction zeros,-0.979812945558234
DESeq2,GSE45719null,full-length,,12,1,Fraction zeros,-0.266480203466421
DESeq2nofilt,GSE45719null,full-length,,12,1,Fraction zeros,-0.289559801984637
edgeRLRTdeconv,GSE45719null,full-length,,12,1,Fraction zeros,-0.122910145978722
SCDE,GSE45719null,full-length,,12,1,Fraction zeros,0.362786756386087
edgeRLRTrobust,GSE45719null,full-length,,12,1,Fraction zeros,0.176729978023164
SeuratBimod,GSE45719null,full-length,,12,1,Fraction zeros,-0.65603198324987
SeuratBimodnofilt,GSE45719null,full-length,,12,1,Fraction zeros,-0.0957966599432554
SeuratTobit,GSE45719null,full-length,,12,1,Fraction zeros,0.0428345568975345
monocle,GSE45719null,full-length,,12,1,Fraction zeros,0.211784089512889
metagenomeSeq,GSE45719null,full-length,,12,1,Fraction zeros,0.318043566403548
monoclecount,GSE45719null,full-length,,12,1,Fraction zeros,0.725158053717126
DESeq2betapFALSE,GSE45719null,full-length,,12,1,Fraction zeros,-0.0299269780889669
DEsingle,GSE45719null,full-length,,12,1,Fraction zeros,-0.579927462995348
zinbwaveDESeq2,GSE45719null,full-length,,12,1,Fraction zeros,-0.0264110970676329
DESeq2LRT,GSE45719null,full-length,,12,1,Fraction zeros,-0.396763631378407
BPSC,GSE45719null,full-length,,12,1,Fraction zeros,0.0831340762140738
MASTcpmDetRate,GSE45719null,full-length,,12,1,Fraction zeros,0.64037578617297
edgeRLRT,GSE45719null,full-length,,12,1,log2(average CPM),0.31774475170322
NODES,GSE45719null,full-length,,12,1,log2(average CPM),0.890836569660688
DESeq2,GSE45719null,full-length,,12,1,log2(average CPM),0.365447542675906
DESeq2nofilt,GSE45719null,full-length,,12,1,log2(average CPM),0.317849965471107
edgeRLRTdeconv,GSE45719null,full-length,,12,1,log2(average CPM),0.31189348969825
SCDE,GSE45719null,full-length,,12,1,log2(average CPM),0.432952406392062
edgeRLRTrobust,GSE45719null,full-length,,12,1,log2(average CPM),0.253511622105048
SeuratBimod,GSE45719null,full-length,,12,1,log2(average CPM),0.908852779962521
SeuratBimodnofilt,GSE45719null,full-length,,12,1,log2(average CPM),0.0134953222093223
SeuratTobit,GSE45719null,full-length,,12,1,log2(average CPM),0.0764588109836948
