method,dataset,dtype,filt,ncells,repl,charac,snr
monoclecensus,EMTAB2805null,full-length,,48,1,Fraction zeros,0.154301512471677
monocle,EMTAB2805null,full-length,,48,1,Fraction zeros,0.603476706149647
metagenomeSeq,EMTAB2805null,full-length,,48,1,Fraction zeros,0.950003860884354
monoclecount,EMTAB2805null,full-length,,48,1,Fraction zeros,0.60073460714739
edgeRQLFDetRate,EMTAB2805null,full-length,,48,1,Fraction zeros,0.686124353521024
DESeq2betapFALSE,EMTAB2805null,full-length,,48,1,Fraction zeros,-0.279516527840604
DEsingle,EMTAB2805null,full-length,,48,1,Fraction zeros,-0.30983490747196
zinbwaveedgeR,EMTAB2805null,full-length,,48,1,Fraction zeros,-0.38429221484673
zinbwaveDESeq2,EMTAB2805null,full-length,,48,1,Fraction zeros,-0.27988925344532
DESeq2LRT,EMTAB2805null,full-length,,48,1,Fraction zeros,-0.44580065518058
BPSC,EMTAB2805null,full-length,,48,1,Fraction zeros,0.495062239639267
edgeRLRT,EMTAB2805null,full-length,,48,1,log2(average CPM),0.289016409020024
edgeRQLF,EMTAB2805null,full-length,,48,1,log2(average CPM),-0.317754143277581
NODES,EMTAB2805null,full-length,,48,1,log2(average CPM),1.06869357012009
DESeq2,EMTAB2805null,full-length,,48,1,log2(average CPM),0.427960583516102
DESeq2nofilt,EMTAB2805null,full-length,,48,1,log2(average CPM),0.340752322569496
edgeRLRTdeconv,EMTAB2805null,full-length,,48,1,log2(average CPM),0.267105316345491
SCDE,EMTAB2805null,full-length,,48,1,log2(average CPM),0.286421487772676
edgeRLRTrobust,EMTAB2805null,full-length,,48,1,log2(average CPM),0.389477775584822
SeuratBimod,EMTAB2805null,full-length,,48,1,log2(average CPM),1.0315717582343
SeuratBimodnofilt,EMTAB2805null,full-length,,48,1,log2(average CPM),0.0616994153168754
monoclecensus,EMTAB2805null,full-length,,48,1,log2(average CPM),0.272814981067258
monocle,EMTAB2805null,full-length,,48,1,log2(average CPM),-0.245562039409688
metagenomeSeq,EMTAB2805null,full-length,,48,1,log2(average CPM),-0.62811877813054
monoclecount,EMTAB2805null,full-length,,48,1,log2(average CPM),-0.0231166557438239
edgeRQLFDetRate,EMTAB2805null,full-length,,48,1,log2(average CPM),-0.329206998271454
DESeq2betapFALSE,EMTAB2805null,full-length,,48,1,log2(average CPM),0.433278494799892
DEsingle,EMTAB2805null,full-length,,48,1,log2(average CPM),0.301534794083434
zinbwaveedgeR,EMTAB2805null,full-length,,48,1,log2(average CPM),0.357588336583282
zinbwaveDESeq2,EMTAB2805null,full-length,,48,1,log2(average CPM),0.310549942122081
DESeq2LRT,EMTAB2805null,full-length,,48,1,log2(average CPM),0.451678051280055
BPSC,EMTAB2805null,full-length,,48,1,log2(average CPM),-0.0062922171382092
edgeRLRT,EMTAB2805null,full-length,,48,1,log2(variance(CPM)),0.441157836388525
edgeRQLF,EMTAB2805null,full-length,,48,1,log2(variance(CPM)),-0.166171512107966
NODES,EMTAB2805null,full-length,,48,1,log2(variance(CPM)),1.01640084183417
DESeq2,EMTAB2805null,full-length,,48,1,log2(variance(CPM)),0.492594880950729
DESeq2nofilt,EMTAB2805null,full-length,,48,1,log2(variance(CPM)),0.483721883263212
edgeRLRTdeconv,EMTAB2805null,full-length,,48,1,log2(variance(CPM)),0.418598560271609
SCDE,EMTAB2805null,full-length,,48,1,log2(variance(CPM)),0.457729227071417
edgeRLRTrobust,EMTAB2805null,full-length,,48,1,log2(variance(CPM)),0.456965248310219
SeuratBimod,EMTAB2805null,full-length,,48,1,log2(variance(CPM)),1.14431025135987
SeuratBimodnofilt,EMTAB2805null,full-length,,48,1,log2(variance(CPM)),0.112061275423483
monoclecensus,EMTAB2805null,full-length,,48,1,log2(variance(CPM)),0.42427968054144
monocle,EMTAB2805null,full-length,,48,1,log2(variance(CPM)),-0.17478397809857
metagenomeSeq,EMTAB2805null,full-length,,48,1,log2(variance(CPM)),-0.545022742212043
monoclecount,EMTAB2805null,full-length,,48,1,log2(variance(CPM)),0.187509316925051
edgeRQLFDetRate,EMTAB2805null,full-length,,48,1,log2(variance(CPM)),-0.184796225432758
DESeq2betapFALSE,EMTAB2805null,full-length,,48,1,log2(variance(CPM)),0.516823641672733
DEsingle,EMTAB2805null,full-length,,48,1,log2(variance(CPM)),0.422890957833814
zinbwaveedgeR,EMTAB2805null,full-length,,48,1,log2(variance(CPM)),0.510642362555753
zinbwaveDESeq2,EMTAB2805null,full-length,,48,1,log2(variance(CPM)),0.342158045396087
DESeq2LRT,EMTAB2805null,full-length,,48,1,log2(variance(CPM)),0.526863737393119
BPSC,EMTAB2805null,full-length,,48,1,log2(variance(CPM)),0.145569788899635
edgeRLRT,EMTAB2805null,full-length,,48,1,CV(CPM),0.223769093263547
edgeRQLF,EMTAB2805null,full-length,,48,1,CV(CPM),0.78125682846466
NODES,EMTAB2805null,full-length,,48,1,CV(CPM),-0.891839266135302
DESeq2,EMTAB2805null,full-length,,48,1,CV(CPM),-0.26598269977258
DESeq2nofilt,EMTAB2805null,full-length,,48,1,CV(CPM),0.165635250107497
edgeRLRTdeconv,EMTAB2805null,full-length,,48,1,CV(CPM),0.232706828090751
SCDE,EMTAB2805null,full-length,,48,1,CV(CPM),0.15215733758566
edgeRLRTrobust,EMTAB2805null,full-length,,48,1,CV(CPM),-0.178860437798839
SeuratBimod,EMTAB2805null,full-length,,48,1,CV(CPM),-0.36949705062803
SeuratBimodnofilt,EMTAB2805null,full-length,,48,1,CV(CPM),0.00582114252396699
monoclecensus,EMTAB2805null,full-length,,48,1,CV(CPM),0.215002186192566
monocle,EMTAB2805null,full-length,,48,1,CV(CPM),0.246086678391515
metagenomeSeq,EMTAB2805null,full-length,,48,1,CV(CPM),0.962564066432264
monoclecount,EMTAB2805null,full-length,,48,1,CV(CPM),0.69468821349217
edgeRQLFDetRate,EMTAB2805null,full-length,,48,1,CV(CPM),0.741494844266908
DESeq2betapFALSE,EMTAB2805null,full-length,,48,1,CV(CPM),-0.144383400575285
DEsingle,EMTAB2805null,full-length,,48,1,CV(CPM),0.0869905331516028
zinbwaveedgeR,EMTAB2805null,full-length,,48,1,CV(CPM),0.175358849467726
zinbwaveDESeq2,EMTAB2805null,full-length,,48,1,CV(CPM),-0.267963992121594
DESeq2LRT,EMTAB2805null,full-length,,48,1,CV(CPM),-0.184906047189336
BPSC,EMTAB2805null,full-length,,48,1,CV(CPM),0.421381459191201
edgeRLRT,EMTAB2805null,full-length,,24,1,Fraction zeros,-0.0544806393332367
edgeRQLF,EMTAB2805null,full-length,,24,1,Fraction zeros,0.727809785724511
NODES,EMTAB2805null,full-length,,24,1,Fraction zeros,-0.948757948395962
DESeq2,EMTAB2805null,full-length,,24,1,Fraction zeros,-0.314409472054961
DESeq2nofilt,EMTAB2805null,full-length,,24,1,Fraction zeros,-0.275986518452842
edgeRLRTdeconv,EMTAB2805null,full-length,,24,1,Fraction zeros,-0.0618563424829333
edgeRLRTrobust,EMTAB2805null,full-length,,24,1,Fraction zeros,-0.0285196008298103
SeuratBimod,EMTAB2805null,full-length,,24,1,Fraction zeros,-0.648004252924129
SeuratBimodnofilt,EMTAB2805null,full-length,,24,1,Fraction zeros,-0.0503890992227547
monoclecensus,EMTAB2805null,full-length,,24,1,Fraction zeros,0.147829431873182
monocle,EMTAB2805null,full-length,,24,1,Fraction zeros,0.462279443937388
monoclecount,EMTAB2805null,full-length,,24,1,Fraction zeros,0.718500201960044
edgeRQLFDetRate,EMTAB2805null,full-length,,24,1,Fraction zeros,0.76592259799448
DESeq2betapFALSE,EMTAB2805null,full-length,,24,1,Fraction zeros,-0.169933611527162
DEsingle,EMTAB2805null,full-length,,24,1,Fraction zeros,-0.337626683911417
zinbwaveedgeR,EMTAB2805null,full-length,,24,1,Fraction zeros,-0.462473360886364
zinbwaveDESeq2,EMTAB2805null,full-length,,24,1,Fraction zeros,-0.288476612651312
DESeq2LRT,EMTAB2805null,full-length,,24,1,Fraction zeros,-0.397711103402434
BPSC,EMTAB2805null,full-length,,24,1,Fraction zeros,0.282009196238048
edgeRLRT,EMTAB2805null,full-length,,24,1,log2(average CPM),0.34560142677673
edgeRQLF,EMTAB2805null,full-length,,24,1,log2(average CPM),-0.309965089784972
NODES,EMTAB2805null,full-length,,24,1,log2(average CPM),0.999456916315247
DESeq2,EMTAB2805null,full-length,,24,1,log2(average CPM),0.428538221787211
DESeq2nofilt,EMTAB2805null,full-length,,24,1,log2(average CPM),0.389452366713645
edgeRLRTdeconv,EMTAB2805null,full-length,,24,1,log2(average CPM),0.34814999717519
edgeRLRTrobust,EMTAB2805null,full-length,,24,1,log2(average CPM),0.343105647589736
SeuratBimod,EMTAB2805null,full-length,,24,1,log2(average CPM),0.90878977680593
SeuratBimodnofilt,EMTAB2805null,full-length,,24,1,log2(average CPM),0.077140944863263
monoclecensus,EMTAB2805null,full-length,,24,1,log2(average CPM),0.35858563072912
monocle,EMTAB2805null,full-length,,24,1,log2(average CPM),-0.192842960957406
monoclecount,EMTAB2805null,full-length,,24,1,log2(average CPM),-0.111853474867011
edgeRQLFDetRate,EMTAB2805null,full-length,,24,1,log2(average CPM),-0.322505067573459
DESeq2betapFALSE,EMTAB2805null,full-length,,24,1,log2(average CPM),0.413705199342744
DEsingle,EMTAB2805null,full-length,,24,1,log2(average CPM),0.335016888467473
zinbwaveedgeR,EMTAB2805null,full-length,,24,1,log2(average CPM),0.553662296070692
zinbwaveDESeq2,EMTAB2805null,full-length,,24,1,log2(average CPM),0.404216233001114
DESeq2LRT,EMTAB2805null,full-length,,24,1,log2(average CPM),0.46339268776959
BPSC,EMTAB2805null,full-length,,24,1,log2(average CPM),0.177727340562068
edgeRLRT,EMTAB2805null,full-length,,24,1,log2(variance(CPM)),0.501140085420829
edgeRQLF,EMTAB2805null,full-length,,24,1,log2(variance(CPM)),-0.161700614403445
NODES,EMTAB2805null,full-length,,24,1,log2(variance(CPM)),0.953414731227942
DESeq2,EMTAB2805null,full-length,,24,1,log2(variance(CPM)),0.484291273171539
DESeq2nofilt,EMTAB2805null,full-length,,24,1,log2(variance(CPM)),0.518867954354064
edgeRLRTdeconv,EMTAB2805null,full-length,,24,1,log2(variance(CPM)),0.503400328941748
edgeRLRTrobust,EMTAB2805null,full-length,,24,1,log2(variance(CPM)),0.395297030216832
SeuratBimod,EMTAB2805null,full-length,,24,1,log2(variance(CPM)),1.04428365601408
SeuratBimodnofilt,EMTAB2805null,full-length,,24,1,log2(variance(CPM)),0.131578618632495
monoclecensus,EMTAB2805null,full-length,,24,1,log2(variance(CPM)),0.529525445441658
monocle,EMTAB2805null,full-length,,24,1,log2(variance(CPM)),-0.138214079470437
monoclecount,EMTAB2805null,full-length,,24,1,log2(variance(CPM)),0.0725574300580689
edgeRQLFDetRate,EMTAB2805null,full-length,,24,1,log2(variance(CPM)),-0.179836001039767
DESeq2betapFALSE,EMTAB2805null,full-length,,24,1,log2(variance(CPM)),0.491946330401223
DEsingle,EMTAB2805null,full-length,,24,1,log2(variance(CPM)),0.473835577572304
zinbwaveedgeR,EMTAB2805null,full-length,,24,1,log2(variance(CPM)),0.76170358130819
zinbwaveDESeq2,EMTAB2805null,full-length,,24,1,log2(variance(CPM)),0.471578167098044
DESeq2LRT,EMTAB2805null,full-length,,24,1,log2(variance(CPM)),0.541700164394189
BPSC,EMTAB2805null,full-length,,24,1,log2(variance(CPM)),0.31919048120896
edgeRLRT,EMTAB2805null,full-length,,24,1,CV(CPM),0.362206005445655
edgeRQLF,EMTAB2805null,full-length,,24,1,CV(CPM),0.876377933787035
NODES,EMTAB2805null,full-length,,24,1,CV(CPM),-0.87309151310379
DESeq2,EMTAB2805null,full-length,,24,1,CV(CPM),-0.150618615474824
DESeq2nofilt,EMTAB2805null,full-length,,24,1,CV(CPM),0.192152913275327
edgeRLRTdeconv,EMTAB2805null,full-length,,24,1,CV(CPM),0.355515672772591
edgeRLRTrobust,EMTAB2805null,full-length,,24,1,CV(CPM),-0.145331412743243
SeuratBimod,EMTAB2805null,full-length,,24,1,CV(CPM),-0.174476108339824
SeuratBimodnofilt,EMTAB2805null,full-length,,24,1,CV(CPM),0.0516861420200749
monoclecensus,EMTAB2805null,full-length,,24,1,CV(CPM),0.353282808950337
monocle,EMTAB2805null,full-length,,24,1,CV(CPM),0.17952720451088
monoclecount,EMTAB2805null,full-length,,24,1,CV(CPM),0.846211442650015
edgeRQLFDetRate,EMTAB2805null,full-length,,24,1,CV(CPM),0.827180810690429
DESeq2betapFALSE,EMTAB2805null,full-length,,24,1,CV(CPM),-0.0462001935570146
DEsingle,EMTAB2805null,full-length,,24,1,CV(CPM),0.234387426610179
zinbwaveedgeR,EMTAB2805null,full-length,,24,1,CV(CPM),0.381505787942803
zinbwaveDESeq2,EMTAB2805null,full-length,,24,1,CV(CPM),-0.162942987197991
DESeq2LRT,EMTAB2805null,full-length,,24,1,CV(CPM),-0.135556869493202
BPSC,EMTAB2805null,full-length,,24,1,CV(CPM),0.330753220321696
edgeRLRT,EMTAB2805null,full-length,,24,2,Fraction zeros,-0.0807769923291412
edgeRQLF,EMTAB2805null,full-length,,24,2,Fraction zeros,0.737244465157199
NODES,EMTAB2805null,full-length,,24,2,Fraction zeros,-1.28413184779661
DESeq2,EMTAB2805null,full-length,,24,2,Fraction zeros,-0.356327009036448
DESeq2nofilt,EMTAB2805null,full-length,,24,2,Fraction zeros,-0.290325522103141
edgeRLRTdeconv,EMTAB2805null,full-length,,24,2,Fraction zeros,-0.0747027233378591
edgeRLRTrobust,EMTAB2805null,full-length,,24,2,Fraction zeros,-0.0165401224819578
SeuratBimod,EMTAB2805null,full-length,,24,2,Fraction zeros,-0.722685614167347
SeuratBimodnofilt,EMTAB2805null,full-length,,24,2,Fraction zeros,-0.0394716841482723
monoclecensus,EMTAB2805null,full-length,,24,2,Fraction zeros,0.128030844605773
monocle,EMTAB2805null,full-length,,24,2,Fraction zeros,0.545832301582686
monoclecount,EMTAB2805null,full-length,,24,2,Fraction zeros,0.664172993743192
edgeRQLFDetRate,EMTAB2805null,full-length,,24,2,Fraction zeros,0.694013106694933
DESeq2betapFALSE,EMTAB2805null,full-length,,24,2,Fraction zeros,-0.198509730224587
DEsingle,EMTAB2805null,full-length,,24,2,Fraction zeros,-0.407646509056362
zinbwaveedgeR,EMTAB2805null,full-length,,24,2,Fraction zeros,-0.539186882209406
zinbwaveDESeq2,EMTAB2805null,full-length,,24,2,Fraction zeros,-0.210666914766597
DESeq2LRT,EMTAB2805null,full-length,,24,2,Fraction zeros,-0.353723962928816
BPSC,EMTAB2805null,full-length,,24,2,Fraction zeros,0.271265039702439
edgeRLRT,EMTAB2805null,full-length,,24,2,log2(average CPM),0.298924269210715
edgeRQLF,EMTAB2805null,full-length,,24,2,log2(average CPM),-0.319888860199617
NODES,EMTAB2805null,full-length,,24,2,log2(average CPM),1.09321958218657
DESeq2,EMTAB2805null,full-length,,24,2,log2(average CPM),0.41919622533055
DESeq2nofilt,EMTAB2805null,full-length,,24,2,log2(average CPM),0.341050306919142
edgeRLRTdeconv,EMTAB2805null,full-length,,24,2,log2(average CPM),0.287570280827678
edgeRLRTrobust,EMTAB2805null,full-length,,24,2,log2(average CPM),0.332986775771869
SeuratBimod,EMTAB2805null,full-length,,24,2,log2(average CPM),0.893098531097541
SeuratBimodnofilt,EMTAB2805null,full-length,,24,2,log2(average CPM),0.0757122859324506
monoclecensus,EMTAB2805null,full-length,,24,2,log2(average CPM),0.293109611278676
monocle,EMTAB2805null,full-length,,24,2,log2(average CPM),-0.223124472126035
monoclecount,EMTAB2805null,full-length,,24,2,log2(average CPM),-0.0818724778333473
edgeRQLFDetRate,EMTAB2805null,full-length,,24,2,log2(average CPM),-0.291666987760234
DESeq2betapFALSE,EMTAB2805null,full-length,,24,2,log2(average CPM),0.408632847266379
DEsingle,EMTAB2805null,full-length,,24,2,log2(average CPM),0.311076183206211
zinbwaveedgeR,EMTAB2805null,full-length,,24,2,log2(average CPM),0.46024437441835
zinbwaveDESeq2,EMTAB2805null,full-length,,24,2,log2(average CPM),0.357441502923858
DESeq2LRT,EMTAB2805null,full-length,,24,2,log2(average CPM),0.454666677161054
BPSC,EMTAB2805null,full-length,,24,2,log2(average CPM),0.134273350386345
edgeRLRT,EMTAB2805null,full-length,,24,2,log2(variance(CPM)),0.457900288145663
edgeRQLF,EMTAB2805null,full-length,,24,2,log2(variance(CPM)),-0.165785669928655
NODES,EMTAB2805null,full-length,,24,2,log2(variance(CPM)),1.01119922531113
DESeq2,EMTAB2805null,full-length,,24,2,log2(variance(CPM)),0.50329270219257
DESeq2nofilt,EMTAB2805null,full-length,,24,2,log2(variance(CPM)),0.489689319536288
edgeRLRTdeconv,EMTAB2805null,full-length,,24,2,log2(variance(CPM)),0.448272558686323
edgeRLRTrobust,EMTAB2805null,full-length,,24,2,log2(variance(CPM)),0.397369961188407
SeuratBimod,EMTAB2805null,full-length,,24,2,log2(variance(CPM)),1.01739276935409
SeuratBimodnofilt,EMTAB2805null,full-length,,24,2,log2(variance(CPM)),0.132392478149444
monoclecensus,EMTAB2805null,full-length,,24,2,log2(variance(CPM)),0.432041087720617
monocle,EMTAB2805null,full-length,,24,2,log2(variance(CPM)),-0.163833418372084
monoclecount,EMTAB2805null,full-length,,24,2,log2(variance(CPM)),0.111397221986768
edgeRQLFDetRate,EMTAB2805null,full-length,,24,2,log2(variance(CPM)),-0.1521313419395
DESeq2betapFALSE,EMTAB2805null,full-length,,24,2,log2(variance(CPM)),0.506456741984988
DEsingle,EMTAB2805null,full-length,,24,2,log2(variance(CPM)),0.438847902965229
zinbwaveedgeR,EMTAB2805null,full-length,,24,2,log2(variance(CPM)),0.606466192075024
zinbwaveDESeq2,EMTAB2805null,full-length,,24,2,log2(variance(CPM)),0.442109085814465
DESeq2LRT,EMTAB2805null,full-length,,24,2,log2(variance(CPM)),0.56374199255803
BPSC,EMTAB2805null,full-length,,24,2,log2(variance(CPM)),0.267919786142093
edgeRLRT,EMTAB2805null,full-length,,24,2,CV(CPM),0.283441972898626
edgeRQLF,EMTAB2805null,full-length,,24,2,CV(CPM),0.873701255015391
NODES,EMTAB2805null,full-length,,24,2,CV(CPM),-0.926103383574715
DESeq2,EMTAB2805null,full-length,,24,2,CV(CPM),-0.0867140555325163
DESeq2nofilt,EMTAB2805null,full-length,,24,2,CV(CPM),0.201820561409916
edgeRLRTdeconv,EMTAB2805null,full-length,,24,2,CV(CPM),0.300549008539133
edgeRLRTrobust,EMTAB2805null,full-length,,24,2,CV(CPM),-0.14455393986612
SeuratBimod,EMTAB2805null,full-length,,24,2,CV(CPM),-0.256489639946007
SeuratBimodnofilt,EMTAB2805null,full-length,,24,2,CV(CPM),0.0415539639756041
monoclecensus,EMTAB2805null,full-length,,24,2,CV(CPM),0.225275502024896
monocle,EMTAB2805null,full-length,,24,2,CV(CPM),0.19810972747426
monoclecount,EMTAB2805null,full-length,,24,2,CV(CPM),0.786681422356182
edgeRQLFDetRate,EMTAB2805null,full-length,,24,2,CV(CPM),0.747594338024033
DESeq2betapFALSE,EMTAB2805null,full-length,,24,2,CV(CPM),-0.0375260027585635
DEsingle,EMTAB2805null,full-length,,24,2,CV(CPM),0.141814962873539
zinbwaveedgeR,EMTAB2805null,full-length,,24,2,CV(CPM),0.174378774415489
zinbwaveDESeq2,EMTAB2805null,full-length,,24,2,CV(CPM),-0.11235014298804
DESeq2LRT,EMTAB2805null,full-length,,24,2,CV(CPM),-0.00490278395470497
BPSC,EMTAB2805null,full-length,,24,2,CV(CPM),0.286137981486618
edgeRLRT,EMTAB2805null,full-length,,24,3,Fraction zeros,-0.116780506852368
edgeRQLF,EMTAB2805null,full-length,,24,3,Fraction zeros,0.761637510427781
NODES,EMTAB2805null,full-length,,24,3,Fraction zeros,-0.991295663086665
DESeq2,EMTAB2805null,full-length,,24,3,Fraction zeros,-0.359624553162582
DESeq2nofilt,EMTAB2805null,full-length,,24,3,Fraction zeros,-0.305324880583112
edgeRLRTdeconv,EMTAB2805null,full-length,,24,3,Fraction zeros,-0.106862349909973
edgeRLRTrobust,EMTAB2805null,full-length,,24,3,Fraction zeros,-0.0738516584395441
SeuratBimod,EMTAB2805null,full-length,,24,3,Fraction zeros,-0.716609373047709
SeuratBimodnofilt,EMTAB2805null,full-length,,24,3,Fraction zeros,-0.0227995648134671
monoclecensus,EMTAB2805null,full-length,,24,3,Fraction zeros,0.252577606183706
monocle,EMTAB2805null,full-length,,24,3,Fraction zeros,0.511280230305605
metagenomeSeq,EMTAB2805null,full-length,,24,3,Fraction zeros,0.546789421207154
monoclecount,EMTAB2805null,full-length,,24,3,Fraction zeros,0.692385422771043
edgeRQLFDetRate,EMTAB2805null,full-length,,24,3,Fraction zeros,0.745295037052623
DESeq2betapFALSE,EMTAB2805null,full-length,,24,3,Fraction zeros,-0.234237825470991
DEsingle,EMTAB2805null,full-length,,24,3,Fraction zeros,-0.377996351357746
zinbwaveedgeR,EMTAB2805null,full-length,,24,3,Fraction zeros,-0.629676149650066
zinbwaveDESeq2,EMTAB2805null,full-length,,24,3,Fraction zeros,-0.241284238772916
DESeq2LRT,EMTAB2805null,full-length,,24,3,Fraction zeros,-0.377396746611129
BPSC,EMTAB2805null,full-length,,24,3,Fraction zeros,0.248558611857965
edgeRLRT,EMTAB2805null,full-length,,24,3,log2(average CPM),0.276575495759785
edgeRQLF,EMTAB2805null,full-length,,24,3,log2(average CPM),-0.331418095686609
NODES,EMTAB2805null,full-length,,24,3,log2(average CPM),0.876589076883394
DESeq2,EMTAB2805null,full-length,,24,3,log2(average CPM),0.433869355070885
DESeq2nofilt,EMTAB2805null,full-length,,24,3,log2(average CPM),0.374545200557934
edgeRLRTdeconv,EMTAB2805null,full-length,,24,3,log2(average CPM),0.266394001844939
edgeRLRTrobust,EMTAB2805null,full-length,,24,3,log2(average CPM),0.329868640872123
SeuratBimod,EMTAB2805null,full-length,,24,3,log2(average CPM),0.891153480191036
SeuratBimodnofilt,EMTAB2805null,full-length,,24,3,log2(average CPM),0.0201093327483833
monoclecensus,EMTAB2805null,full-length,,24,3,log2(average CPM),0.23686432827933
monocle,EMTAB2805null,full-length,,24,3,log2(average CPM),-0.198497068385652
metagenomeSeq,EMTAB2805null,full-length,,24,3,log2(average CPM),-0.670714017241923
monoclecount,EMTAB2805null,full-length,,24,3,log2(average CPM),-0.110819467369271
edgeRQLFDetRate,EMTAB2805null,full-length,,24,3,log2(average CPM),-0.318552924694262
DESeq2betapFALSE,EMTAB2805null,full-length,,24,3,log2(average CPM),0.422798892204956
DEsingle,EMTAB2805null,full-length,,24,3,log2(average CPM),0.262989208355123
zinbwaveedgeR,EMTAB2805null,full-length,,24,3,log2(average CPM),0.528843966629366
zinbwaveDESeq2,EMTAB2805null,full-length,,24,3,log2(average CPM),0.432117939460158
DESeq2LRT,EMTAB2805null,full-length,,24,3,log2(average CPM),0.436908543719413
BPSC,EMTAB2805null,full-length,,24,3,log2(average CPM),0.159065135257896
edgeRLRT,EMTAB2805null,full-length,,24,3,log2(variance(CPM)),0.422329622828079
edgeRQLF,EMTAB2805null,full-length,,24,3,log2(variance(CPM)),-0.173546348438628
NODES,EMTAB2805null,full-length,,24,3,log2(variance(CPM)),0.881663836207794
DESeq2,EMTAB2805null,full-length,,24,3,log2(variance(CPM)),0.511380430714261
DESeq2nofilt,EMTAB2805null,full-length,,24,3,log2(variance(CPM)),0.523664307119435
edgeRLRTdeconv,EMTAB2805null,full-length,,24,3,log2(variance(CPM)),0.416554646856538
edgeRLRTrobust,EMTAB2805null,full-length,,24,3,log2(variance(CPM)),0.38918780932356
SeuratBimod,EMTAB2805null,full-length,,24,3,log2(variance(CPM)),0.996486352566276
SeuratBimodnofilt,EMTAB2805null,full-length,,24,3,log2(variance(CPM)),0.0733433220012511
monoclecensus,EMTAB2805null,full-length,,24,3,log2(variance(CPM)),0.410263207307299
monocle,EMTAB2805null,full-length,,24,3,log2(variance(CPM)),-0.131034658727089
metagenomeSeq,EMTAB2805null,full-length,,24,3,log2(variance(CPM)),-0.654367142640397
monoclecount,EMTAB2805null,full-length,,24,3,log2(variance(CPM)),0.086834222669543
edgeRQLFDetRate,EMTAB2805null,full-length,,24,3,log2(variance(CPM)),-0.16871497307304
DESeq2betapFALSE,EMTAB2805null,full-length,,24,3,log2(variance(CPM)),0.522224460563447
DEsingle,EMTAB2805null,full-length,,24,3,log2(variance(CPM)),0.404325348067134
zinbwaveedgeR,EMTAB2805null,full-length,,24,3,log2(variance(CPM)),0.779028134600178
zinbwaveDESeq2,EMTAB2805null,full-length,,24,3,log2(variance(CPM)),0.521932026939398
DESeq2LRT,EMTAB2805null,full-length,,24,3,log2(variance(CPM)),0.52189132587796
BPSC,EMTAB2805null,full-length,,24,3,log2(variance(CPM)),0.304943097473808
edgeRLRT,EMTAB2805null,full-length,,24,3,CV(CPM),0.24987891140928
edgeRQLF,EMTAB2805null,full-length,,24,3,CV(CPM),0.905800229150405
NODES,EMTAB2805null,full-length,,24,3,CV(CPM),-0.794465501524379
DESeq2,EMTAB2805null,full-length,,24,3,CV(CPM),-0.152662665844862
DESeq2nofilt,EMTAB2805null,full-length,,24,3,CV(CPM),0.173020409224905
edgeRLRTdeconv,EMTAB2805null,full-length,,24,3,CV(CPM),0.27657183975411
edgeRLRTrobust,EMTAB2805null,full-length,,24,3,CV(CPM),-0.168780839963287
SeuratBimod,EMTAB2805null,full-length,,24,3,CV(CPM),-0.264551306508617
SeuratBimodnofilt,EMTAB2805null,full-length,,24,3,CV(CPM),0.0726110653388128
monoclecensus,EMTAB2805null,full-length,,24,3,CV(CPM),0.37275924477735
monocle,EMTAB2805null,full-length,,24,3,CV(CPM),0.236310707776648
metagenomeSeq,EMTAB2805null,full-length,,24,3,CV(CPM),0.658884311692505
monoclecount,EMTAB2805null,full-length,,24,3,CV(CPM),0.840829538999726
edgeRQLFDetRate,EMTAB2805null,full-length,,24,3,CV(CPM),0.818905804053334
DESeq2betapFALSE,EMTAB2805null,full-length,,24,3,CV(CPM),-0.0649243760528939
DEsingle,EMTAB2805null,full-length,,24,3,CV(CPM),0.223526160678289
zinbwaveedgeR,EMTAB2805null,full-length,,24,3,CV(CPM),0.383516327392175
zinbwaveDESeq2,EMTAB2805null,full-length,,24,3,CV(CPM),-0.12212938005221
DESeq2LRT,EMTAB2805null,full-length,,24,3,CV(CPM),-0.10298647237106
BPSC,EMTAB2805null,full-length,,24,3,CV(CPM),0.315347391048101
edgeRLRT,EMTAB2805null,full-length,,24,4,Fraction zeros,-0.0706146756682389
edgeRQLF,EMTAB2805null,full-length,,24,4,Fraction zeros,0.745882022790722
NODES,EMTAB2805null,full-length,,24,4,Fraction zeros,-0.95476755690965
DESeq2,EMTAB2805null,full-length,,24,4,Fraction zeros,-0.316628988073382
DESeq2nofilt,EMTAB2805null,full-length,,24,4,Fraction zeros,-0.297182816292972
edgeRLRTdeconv,EMTAB2805null,full-length,,24,4,Fraction zeros,-0.0776917382697609
edgeRLRTrobust,EMTAB2805null,full-length,,24,4,Fraction zeros,0.00111589587086949
SeuratBimod,EMTAB2805null,full-length,,24,4,Fraction zeros,-0.676603077738071
SeuratBimodnofilt,EMTAB2805null,full-length,,24,4,Fraction zeros,-0.0379634782263797
monoclecensus,EMTAB2805null,full-length,,24,4,Fraction zeros,0.232600301058765
monocle,EMTAB2805null,full-length,,24,4,Fraction zeros,0.502130550615862
monoclecount,EMTAB2805null,full-length,,24,4,Fraction zeros,0.735366384525855
edgeRQLFDetRate,EMTAB2805null,full-length,,24,4,Fraction zeros,0.783361056571691
DESeq2betapFALSE,EMTAB2805null,full-length,,24,4,Fraction zeros,-0.215777871808307
DEsingle,EMTAB2805null,full-length,,24,4,Fraction zeros,-0.440373876384665
